Filesystem,Type,Size,Used,Available,Use%,Mounted on
devtmpfs,devtmpfs,5.8G,0,5.8G,0%,/dev
tmpfs,tmpfs,5.8G,7.6M,5.8G,1%,/dev/shm
tmpfs,tmpfs,5.8G,534M,5.3G,10%,/run
tmpfs,tmpfs,5.8G,0,5.8G,0%,/sys/fs/cgroup
/dev/mapper/centos-root,xfs,50G,45G,5.3G,90%,/
/dev/sda1,xfs,1014M,367M,648M,37%,/boot
/dev/mapper/centos-home,xfs,409G,182G,228G,45%,/home
172.16.1.141:/shared_directory,nfs4,400G,277G,124G,70%,/mnt/shared_mount
tmpfs,tmpfs,1.2G,88K,1.2G,1%,/run/user/1000
overlay,overlay,50G,45G,5.3G,90%,/var/lib/docker/overlay2/7c16fcbdcbb92c350ca1ef5d41863355910453fc1a844291a8ff902c461c8be5/merged
overlay,overlay,50G,45G,5.3G,90%,/var/lib/docker/overlay2/2e1f60b10731115102c4c7404512b7caec6f29e0bac68e94ef6638cd53e23155/merged
tmpfs,tmpfs,1.2G,0,1.2G,0%,/run/user/0
